Generation,Strategy,Share,Mean,CI_lower,CI_upper,Population,Total_Generations,Mutation,SCB,Rounds,Repeats,Seed,Epsilon,payoffs
9,CAUTIOUS,0.0385346,4.94676,2.18137,7.71216,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
9,CONTRITE,0.248526,5.99568,2.64798,9.34338,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
9,PAVLOV,0.248526,5.99568,2.64798,9.34338,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
9,GRIM,0.215276,5.9599,2.63195,9.28785,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
10,ALLC,0.25112,5.99692,2.64821,9.34562,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
10,CAUTIOUS,0.0320206,4.94381,2.17969,7.70794,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
10,CONTRITE,0.250483,5.9964,2.64798,9.34483,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
10,PAVLOV,0.250483,5.9964,2.64798,9.34483,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
10,GRIM,0.215893,5.9666,2.63462,9.29859,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
11,ALLC,0.252784,5.99744,2.64816,9.34672,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
11,CAUTIOUS,0.0265567,4.94133,2.17826,7.7044,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
11,CONTRITE,0.252125,5.99701,2.64797,9.34605,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
11,PAVLOV,0.252125,5.99701,2.64797,9.34605,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
11,GRIM,0.21641,5.97225,2.63686,9.30764,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
12,ALLC,0.254174,5.99788,2.64811,9.34764,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
12,CAUTIOUS,0.0219897,4.93924,2.17705,7.70144,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
12,CONTRITE,0.253497,5.99752,2.64795,9.34709,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
12,PAVLOV,0.253497,5.99752,2.64795,9.34709,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
12,GRIM,0.216843,5.97698,2.63873,9.31524,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
13,ALLC,0.255333,5.99824,2.64806,9.34842,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
13,CAUTIOUS,0.0181836,4.9375,2.17604,7.69897,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
13,CONTRITE,0.25464,5.99795,2.64793,9.34797,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
13,PAVLOV,0.25464,5.99795,2.64793,9.34797,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
13,GRIM,0.217203,5.98094,2.64029,9.32159,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
14,ALLC,0.256297,5.99855,2.64802,9.34907,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
14,CAUTIOUS,0.0150193,4.93605,2.17518,7.69692,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
14,CONTRITE,0.25559,5.9983,2.64791,9.3487,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
14,PAVLOV,0.25559,5.9983,2.64791,9.3487,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
14,GRIM,0.217503,5.98424,2.64159,9.32689,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
15,ALLC,0.257096,5.9988,2.64798,9.34962,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
